genres	avg. votes	avg. rating	avg. runtime
Adventure,Fantasy,War	152	5.2	99.0
Adventure,Fantasy,Western	12362	5.2	102.0
Adventure,Film-Noir,Mystery	1152	5.9	63.0
Adventure,Film-Noir,Romance	3469	6.6	106.0
Adventure,History	203	6.0	93.0
Adventure,History,Musical	120	5.9	96.0
Adventure,History,Mystery	189	5.9	107.0
Adventure,History,Romance	917	6.4	110.0
Adventure,History,Sci-Fi	568	6.0	94.0
Adventure,History,Thriller	5641	7.1	125.0
Adventure,History,War	321	5.7	96.0
Adventure,History,Western	365	6.0	114.0
Adventure,Horror	4425	4.8	89.0
Adventure,Horror,Musical	5	4.4	67.0
Adventure,Horror,Mystery	5118	5.2	92.0
Adventure,Horror,Romance	728	5.3	138.0
Adventure,Horror,Sci-Fi	4239	4.5	89.0
Adventure,Horror,Thriller	11263	4.9	92.0
Adventure,Horror,Western	59	5.1	91.0
Adventure,Music	31	7.4	78.0
Adventure,Music,Musical	413	6.4	110.0
Adventure,Music,Romance	200	5.7	76.0
Adventure,Music,Sci-Fi	1393	5.1	83.0
Adventure,Musical	53	6.5	93.0
Adventure,Musical,Mystery	57	6.1	87.0
Adventure,Musical,Romance	145	5.8	90.0
Adventure,Musical,Sci-Fi	41	7.6	92.0
Adventure,Musical,War	346	5.8	95.0
Adventure,Mystery	191	5.9	96.0
Adventure,Mystery,Romance	729	5.7	88.0
Adventure,Mystery,Sci-Fi	59881	5.9	106.0
Adventure,Mystery,Thriller	20897	6.0	102.0
Adventure,Mystery,War	792	5.3	72.0
Adventure,Mystery,Western	89	5.7	80.0
Adventure,News	69	6.8	64.0
Adventure,Romance	236	5.7	89.0
Adventure,Romance,Sci-Fi	9731	6.2	87.0
Adventure,Romance,Sport	21	4.5	84.0
Adventure,Romance,Thriller	425	6.2	102.0
Adventure,Romance,War	164	5.6	83.0
Adventure,Romance,Western	702	6.3	77.0
Adventure,Sci-Fi	10111	5.0	90.0
Adventure,Sci-Fi,Sport	356	6.5	92.0
Adventure,Sci-Fi,Thriller	6192	5.0	88.0
Adventure,Sci-Fi,War	46	6.4	69.0
Adventure,Sci-Fi,Western	561	3.6	95.0
Adventure,Sport	34	5.1	72.0
Adventure,Thriller	1379	5.8	94.0
Adventure,Thriller,Western	397	6.1	68.0
Adventure,War	306	5.6	88.0
Adventure,War,Western	3128	5.0	92.0
Adventure,Western	321	5.7	90.0
Animation	68	6.4	98.0
Animation,Biography	626	6.2	82.0
Animation,Biography,Comedy	545	7.0	73.0
Animation,Biography,Crime	167	7.6	102.0
Animation,Biography,Documentary	1954	7.4	77.0
Animation,Biography,Drama	7920	7.0	87.0
Animation,Biography,Family	45	5.1	85.0
Animation,Biography,Fantasy	44	6.8	78.0
Animation,Biography,History	43	7.4	60.0
Animation,Biography,Music	17	4.0	45.0
Animation,Comedy	538	6.4	66.0
Animation,Comedy,Crime	5459	6.3	79.0
Animation,Comedy,Documentary	346	7.5	75.0
Animation,Comedy,Drama	7230	6.7	82.0
Animation,Comedy,Family	4871	6.3	66.0
Animation,Comedy,Fantasy	4660	6.5	73.0
Animation,Comedy,History	51	6.6	62.0
Animation,Comedy,Horror	428	6.2	72.0
Animation,Comedy,Music	1142	7.0	68.0
Animation,Comedy,Musical	2742	5.9	72.0
Animation,Comedy,Mystery	2343	6.3	65.0
Animation,Comedy,Romance	426	6.6	73.0
Animation,Comedy,Sci-Fi	704	6.0	73.0
Animation,Comedy,Sport	22	5.5	60.0
Animation,Comedy,Thriller	3595	5.4	75.0
Animation,Comedy,War	24	2.4	87.0
Animation,Comedy,Western	756	7.0	86.0
Animation,Crime,Documentary	1684	8.3	82.0
Animation,Crime,Drama	7050	7.1	97.0
Animation,Crime,Family	185	6.3	50.0
Animation,Crime,Horror	1286	7.9	108.0
Animation,Crime,Music	1867	7.3	98.0
Animation,Crime,Mystery	450	6.7	90.0
Animation,Crime,Sci-Fi	10	3.4	86.0
Animation,Documentary	210	7.3	69.0
Animation,Documentary,Drama	99	7.2	80.0
Animation,Documentary,Family	73	7.3	56.0
Animation,Documentary,Fantasy	46	8.0	59.0
Animation,Documentary,History	163	7.3	69.0
Animation,Documentary,Music	26	7.5	73.0
Animation,Documentary,Musical	114	6.8	58.0
Animation,Documentary,Mystery	2287	7.9	93.0
Animation,Documentary,News	157	7.3	65.0
Animation,Documentary,Sci-Fi	13	7.6	54.0
Animation,Documentary,War	104	7.5	88.0
Animation,Drama	1853	6.8	85.0
Animation,Drama,Family	12424	6.9	85.0
Animation,Drama,Fantasy	11766	6.8	87.0
Animation,Drama,History	1107	7.1	95.0
Animation,Drama,Horror	1365	6.7	76.0
Animation,Drama,Music	1282	7.5	83.0
Animation,Drama,Musical	67	6.4	79.0
Animation,Drama,Mystery	13561	6.5	83.0
Animation,Drama,Romance	5108	6.6	83.0
Animation,Drama,Sci-Fi	2817	6.7	95.0
Animation,Drama,Sport	292	6.6	84.0
Animation,Drama,Thriller	877	7.2	78.0
Animation,Drama,War	41142	7.1	83.0
Animation,Family	142	6.3	58.0
Animation,Family,Fantasy	10588	6.2	65.0
Animation,Family,History	402	5.6	70.0
Animation,Family,Music	236	5.8	56.0
Animation,Family,Musical	371	6.4	61.0
Animation,Family,Mystery	181	6.4	50.0
Animation,Family,Romance	453	6.8	58.0
Animation,Family,Sci-Fi	334	6.4	53.0
Animation,Family,Sport	175	6.0	58.0
Animation,Family,Western	50	4.8	74.0
Animation,Fantasy	378	6.1	73.0
Animation,Fantasy,History	110	4.7	72.0
Animation,Fantasy,Horror	1343	6.0	70.0
Animation,Fantasy,Music	975	6.5	67.0
Animation,Fantasy,Musical	383	6.6	74.0
Animation,Fantasy,Mystery	447	6.8	81.0
Animation,Fantasy,Romance	325	7.0	84.0
Animation,Fantasy,Sci-Fi	255	6.2	89.0
Animation,Fantasy,Thriller	141	4.2	70.0
Animation,Fantasy,War	36	8.0	75.0
Animation,History	623	7.0	80.0
Animation,History,Music	59	4.8	65.0
Animation,History,Musical	76	6.1	90.0
Animation,History,Romance	14	7.6	
Animation,History,War	251	7.3	92.0
Animation,Horror	144	6.0	77.0
Animation,Horror,Music	11	6.8	60.0
Animation,Horror,Mystery	1088	5.8	70.0
